"rank","Game","Release date","Price","Score rank(Userscore / Metascore)","Owners","Players","Playtime (Median)","Developer(s)","Publisher(s)"
"423","Cash Crop","Aug 3, 2017","$15.99","N/A (N/A)","1,003 ±1,132","668 ±924","02:45 (02:44)","Joint Ventures","Joint Ventures"
"503","Retaliation: Enemy Mine","Jan 22, 2016","$4.99","N/A (N/A)","1,003 ±1,132","1,003 ±1,132","01:13 (01:09)","XTeam Software Solutions srls","Forgotten Empires LLC, XTeam Software Solutions srls"
"572","Birdsketball","Nov 17, 2016","$1.99","N/A (N/A)","1,003 ±1,132","668 ±924","00:05 (00:03)","Waynetron","Waynetron"
"624","WizardCraft","May 27, 2016","$7.99","N/A (N/A)","1,003 ±1,132","668 ±924","08:59 (08:59)","David Mccue","David Mccue"
"662","Assault on the Necrospire","Aug 21, 2017","$8.99","N/A (N/A)","1,003 ±1,132","668 ±924","00:16 (00:13)","Bad Duck Games","Bad Duck Games"
"746","Scorch","May 16, 2017","$2.99","N/A (N/A)","1,003 ±1,132","334 ±654","00:16 (00:08)","CM Softworks Inc.","CM Softworks Inc."
"770","Monsters!","Oct 25, 2016","$4.99","N/A (N/A)","1,003 ±1,132","0 ±0","00:00 (00:00)","QuadraTron Games","QuadraTron Games"
"870","Pong It! VR","Sep 19, 2016","$4.99","N/A (N/A)","1,003 ±1,132","1,003 ±1,132","00:24 (00:30)","Mergin Studio","Mergin Studio"
"872","Destination Ares","Sep 22, 2017","$19.99","N/A (N/A)","1,003 ±1,132","668 ±924","00:33 (00:33)","Patrick Scott","Patrick Scott"
"949","IPackThat","Oct 6, 2015","$64.99","N/A (N/A)","1,003 ±1,132","1,003 ±1,132","274:22 (410:32)","Piranha Bytes Distribution UG&Co KG","Piranha Bytes Distribution UG&Co KG"
"969","Vidar","Jun 14, 2017","$6.69","N/A (N/A)","1,003 ±1,132","334 ±654","00:04 (00:02)","Razbury Games","Razbury Games"
"1027","RUMP! - It's a Jump and Rump!","May 12, 2017","$9.99","N/A (N/A)","1,003 ±1,132","1,003 ±1,132","84:02 (124:33)","Dedication Labs","Dedication Labs"
"475","Puzzle Box","Apr 22, 2016","$9.99","N/A (N/A)","901 ±880","901 ±880","00:11 (00:13)","BplusGames","OtakuMaker.com"
"535","Restricted-RPS - Hope Annihilation Arc","Jun 24, 2016","Free","N/A (N/A)","901 ±880","225 ±440","02:45 (00:55)","Ryan Jake Lambourn, homph","gogem.pro"
"697","Princess Edge - Dragonstone","May 19, 2016","$7.99","N/A (N/A)","901 ±880","901 ±880","00:13 (00:14)","erobotan","erobotan"
"711","Malazard: The Master of Magic","Nov 17, 2016","$7.99","N/A (N/A)","901 ±880","676 ±762","00:29 (00:20)","Invictus Games Ltd.","Invictus Games Ltd."
"744","Beyond Power VR","Sep 30, 2016","$1.99","N/A (N/A)","901 ±880","225 ±440","00:10 (00:03)","Unparalleled Games","Unparalleled Games"
"747","Gus Track Adventures VR","Jun 27, 2017","$5.99","N/A (N/A)","901 ±880","676 ±762","00:06 (00:05)","maxlvlgames","maxlvlgames"
"756","Carnivore Land","Mar 9, 2016","$7.99","N/A (N/A)","901 ±880","901 ±880","01:25 (01:51)","dwCrew","dwCrew"
"757","DesertLand 2115","Nov 18, 2016","$4.99","N/A (N/A)","901 ±880","676 ±762","00:04 (00:03)","FutureVisionsGames","FutureVisionsGames"
"853","Champions of Breakfast","Jun 23, 2016","$4.99","N/A (N/A)","901 ±880","901 ±880","08:27 (10:44)","Pirate Software","Pirate Software"
"884","Space, VR!","Mar 2, 2017","$1.99","N/A (N/A)","901 ±880","676 ±762","00:15 (00:13)","James Nye, Copeland Williams","Self"
"912","Zulu Response","Jun 12, 2017","$14.99","N/A (N/A)","901 ±880","901 ±880","01:35 (01:58)","Web Interactive Solutions","Web Interactive Solutions"
"923","Drive Isle","Aug 15, 2017","$4.99","N/A (N/A)","901 ±880","901 ±880","00:32 (00:38)","Roadfactory","Roadfactory"
"930","Slam","Jul 11, 2016","$3.99","N/A (N/A)","901 ±880","450 ±622","00:15 (00:10)","Aera Studios","Aera Studios"
"1000","Pyramid VR","Aug 31, 2017","$7.99","N/A (N/A)","901 ±880","225 ±440","00:05 (00:01)","Christopher Meyer, Alvaro Urrutia Luna","Notso Entertaining Productions"
"519","Star Story: The Horizon Escape","Sep 5, 2017","$14.99","N/A (N/A)","676 ±762","676 ±762","01:40 (01:40)","EvilCoGames","EvilCoGames"
"603","STLD Redux: Episode 02","May 19, 2017","$4.99","N/A (N/A)","676 ±762","225 ±440","00:35 (00:11)","Craig Daversa","Craig Daversa"
"758","The Warden","Mar 18, 2016","$11.99","N/A (N/A)","676 ±762","450 ±622","00:30 (00:20)","Matteo Cillario, Riccardo Runci, Niccolo' Passeri, Giulia Sorrentino","Black Mist Studios"
"425","Emberdoom","Sep 26, 2017","$7.99","N/A (N/A)","668 ±924","668 ±924","00:12 (00:11)","Loud King Studios, LLC","Loud King Studios, LLC"
"531","Z. Year One","Feb 22, 2017","$14.99","N/A (N/A)","668 ±924","668 ±924","00:18 (00:17)","Downward Viral","Downward Viral, RNG Studios"
"615","Power Solitaire VR","Jun 7, 2017","$4.99","N/A (N/A)","668 ±924","668 ±924","00:03 (00:03)","Parkerhill Reality Labs","Parkerhill Reality Labs"
"643","EEP Train Simulator Mission","Apr 5, 2017","$19.99","N/A (N/A)","668 ±924","334 ±654","01:07 (00:33)","Trend Redaktions- und Verlagsgesellschaft mbH","Trend Redaktions- und Verlagsgesellschaft mbH"
"644","Unreal Heroes","Feb 3, 2017","$9.99","N/A (N/A)","668 ±924","668 ±924","00:11 (00:11)","OxPrime Studio","OxPrime Studio"
"663","Hate Free Heroes RPG","Jul 7, 2017","$12.99","N/A (N/A)","668 ±924","668 ±924","03:13 (03:12)","Starlight Studios","U Game Me"
"738","Cologne","Mar 10, 2016","$2.99","N/A (N/A)","668 ±924","668 ±924","01:50 (01:50)","WALLOOK Company","WALLOOK Company"
"796","Tick: The Time Based Puzzle Game","Aug 20, 2015","$2.99","N/A (N/A)","668 ±924","668 ±924","00:06 (00:05)","Fingertip Games UK","Fingertip Games UK"
"815","Bionite: Origins","Dec 24, 2015","$10.79","N/A (N/A)","668 ±924","0 ±0","00:00 (00:00)","Platoon Studios","Platoon Studios"
"854","DWVR","Sep 26, 2017","$12.74","N/A (N/A)","668 ±924","334 ±654","00:14 (00:07)","Mad Triangles","Mad Triangles"
"940","Super VR Trainer","Mar 13, 2017","$17.99","N/A (N/A)","668 ±924","668 ±924","00:17 (00:17)","Jorge Moreno Aguilera, David Erosa","David Erosa García"
"962","VINDICTA","Jun 19, 2017","$14.99","N/A (N/A)","668 ±924","668 ±924","16:17 (16:16)","Game Cooks","Game Cooks"
"1015","Stonehenge VR SANDBOX","Oct 10, 2017","Free","N/A (N/A)","668 ±924","0 ±0","00:00 (00:00)","VoyagerVR","VoyagerVR"
"393","AI Rebellion VR","May 2, 2017","$2.99","N/A (N/A)","659 ±1,290","659 ±1,290","00:24 (00:24)","Immergity","Immergity"
"494","Diesel Power","Mar 3, 2017","$9.99","N/A (N/A)","659 ±1,290","659 ±1,290","02:58 (02:58)","Irmas Ibric","Irmas Ibric"
"575","Breaking Wheel","Apr 3, 2017","$4.99","N/A (N/A)","659 ±1,290","0 ±0","00:00 (00:00)","Insane Mind Games","Insane Mind Games"
"781","Ghost Pursuit VR","Sep 1, 2017","$4.99","N/A (N/A)","659 ±1,290","0 ±0","00:00 (00:00)","Raf1 Dev","Raf1 Dev"
"802","Virtual Islands","Apr 24, 2017","$3.99","N/A (N/A)","659 ±1,290","659 ±1,290","00:24 (00:24)","Tim McCulloch","Tim McCulloch"
"805","World Builder","Mar 14, 2017","$9.99","N/A (N/A)","659 ±1,290","659 ±1,290","00:12 (00:12)","Guruji VR, Inc","Guruji VR, Inc"
"868","Four Realms","Oct 24, 2016","$9.99","N/A (N/A)","659 ±1,290","659 ±1,290","05:32 (05:32)","Hugebot!","Hugebot!"
"904","Island Getaway","Jan 16, 2017","$4.99","N/A (N/A)","659 ±1,290","659 ±1,290","01:16 (01:16)","Frosted Brain","Frosted Brain"
"942","Exterminator","Apr 5, 2017","$9.99","N/A (N/A)","659 ±1,290","659 ±1,290","00:05 (00:05)","PRIME WORKS Co.,Ltd.","PRIME WORKS Co.,Ltd."
"983","SURV","Jul 25, 2017","$3.99","N/A (N/A)","659 ±1,290","0 ±0","00:00 (00:00)","IceStudio","IceStudio"
"1035","Shepherds of the Abyss","Nov 18, 2016","$9.99","N/A (N/A)","659 ±1,290","659 ±1,290","02:15 (02:15)","Impulse Games","Impulse Games"
